Concelho;H:0 - 14 anos;H:15 - 24 anos;H:25 - 64 anos;H:65 e mais anos;M:0 - 14 anos;M:15 - 24 anos;M:25 - 64 anos;M:65 e mais anos
ALCOCHETE;1560;1159;4985;1500;1572;1110;5350;1907
ALMADA;12491;9587;43309;17821;11728;9094;48844;24364
AMADORA;12386;9059;42356;15592;11965;8999;48602;22495
BARREIRO;5279;4123;18865;8435;5044;4080;20929;11590
CASCAIS;16007;12107;51639;20013;15030;11408;59472;28448
LISBOA;36718;27794;140464;49203;34502;27275;151275;78565
LOURES;15306;11063;49958;18793;14317;10669;55971;25513
MAFRA;7228;4997;22927;6764;6949;4797;24242;8611
MOITA;5066;3785;16299;6198;4743;3585;18263;8316
MONTIJO;4706;2992;14966;4389;4307;2818;15448;6056
ODIVELAS;11322;7775;37579;13048;11014;7526;41906;17864
OEIRAS;12577;9167;40971;16866;11740;8697;47258;24382
PALMELA;5061;3999;17833;6272;4933;3732;18730;8292
SEIXAL;12495;9192;41157;15780;11999;8875;46952;20057
SESIMBRA;3995;2985;13551;4904;3834;2775;14558;5782
SETUBAL;8997;6882;30360;12319;8519;6622;33623;16174
SINTRA;28890;23461;100356;29085;28013;23162;112839;39800
VILA FRANCA DE XIRA;10839;7646;36049;11144;10081;7581;39909;14280
ALCACER DO SAL;620;543;2709;1500;614;453;2716;1957
GRANDOLA;858;697;3708;1740;825;585;3332;2077
ODEMIRA;1519;1653;10124;3071;1436;1083;7034;3618
SANTIAGO DO CACEM;1746;1194;6866;3655;1668;1101;7120;4422
SINES;979;677;3770;1396;1028;671;3880;1797
ALJUSTREL;524;391;2353;1110;535;383;2147;1431
ALMODOVAR;372;299;1655;982;359;277;1560;1208
ALVITO;151;118;525;295;142;116;543;390
BARRANCOS;91;76;371;165;85;70;350;230
BEJA;2451;1846;8728;3271;2270;1660;8577;4591
CASTRO VERDE;421;331;1773;799;412;334;1748;1055
CUBA;305;208;1141;498;272;212;1067;670
FERREIRA DO ALENTEJO;474;363;2074;957;431;319;1785;1281
MERTOLA;288;231;1563;996;258;207;1375;1288
MOURA;1017;740;3224;1451;948;732;3119;2027
OURIQUE;234;215;1164;755;252;195;1114;910
SERPA;838;698;3595;1709;750;599;3387;2181
VIDIGUEIRA;346;267;1289;606;317;244;1268;838
ALMEIRIM;1484;1166;5378;2424;1446;1087;5776;3251
ALPIARCA;478;375;1618;855;377;322;1750;1200
AZAMBUJA;1424;1112;5969;2196;1377;1122;5370;2851
BENAVENTE;2308;1754;7673;2524;2235;1662;8216;3337
CARTAXO;1474;1248;5844;2557;1443;1121;6198;3301
CHAMUSCA;473;370;2101;1165;448;367;2083;1523
CORUCHE;935;782;4007;2469;922;757;4196;3287
GOLEGA;296;281;1307;649;312;258;1363;934
RIO MAIOR;1425;1191;5447;2176;1376;1046;5491;2852
SALVATERRA DE MAGOS;1355;1130;5367;2505;1335;1094;5520;3301
SANTAREM;3810;3220;14295;6388;3712;2847;15380;9010
ALTER DO CHAO;160;120;659;451;176;139;702;637
ARRONCHES;155;133;719;372;143;104;656;507
AVIS;210;148;901;532;218;182;903;718
CAMPO MAIOR;597;467;1982;830;585;430;2054;1097
CASTELO DE VIDE;162;134;707;493;133;112;756;619
CRATO;139;127;702;517;149;107;712;772
ELVAS;1490;1094;5119;2170;1402;1074;5497;2884
FRONTEIRA;161;130;671;394;137;115;687;563
GAVIAO;142;119;734;586;123;115;733;842
MARVAO;130;117;710;485;158;109;723;589
MONFORTE;211;149;678;370;203;175;715;491
NISA;226;230;1334;1014;229;241;1267;1411
PONTE DE SOR;870;696;3851;1910;848;687;3833;2553
PORTALEGRE;1359;1101;5452;2680;1374;1104;5822;3448
SOUSEL;244;205;991;587;242;187;1048;856
ALANDROAL;243;209;1293;687;267;188;1206;921
ARRAIOLOS;385;313;1709;824;351;294;1651;1079
BORBA;364;291;1643;851;386;261;1617;1015
ESTREMOZ;732;594;3132;1561;716;542;3281;2122
EVORA;3737;2908;13477;5323;3347;2708;14771;7306
MONTEMOR-O-NOVO;936;707;3877;2073;882;704;3914;2706
MORA;190;171;909;704;178;146;938;899
MOURAO;167;132;592;297;154;106;542;361
PORTEL;349;305;1458;699;317;251;1410;958
REDONDO;359;319;1649;749;349;289;1587;985
REGUENGOS DE MONSARAZ;633;528;2519;1098;582;452;2530;1529
VENDAS NOVAS;715;605;2659;1427;651;547;2748;1893
VIANA DO ALENTEJO;340;278;1337;581;344;258;1371;809
VILA VICOSA;428;345;1956;835;380;361;1971;1111
ALBUFEIRA;3163;2456;12273;3733;2938;2183;13134;4284
ALCOUTIM;83;89;525;539;75;79;473;660
ALJEZUR;401;253;1603;762;373;228;1561;864
CASTRO MARIM;342;269;1543;1009;363;276;1553;1084
FARO;4668;3580;17465;6426;4525;3444;19104;8410
LAGOA;1671;1263;6070;2602;1549;1214;6405;2951
LAGOS;2211;1704;8477;3875;2086;1574;9153;4414
LOULE;4981;3611;18566;7818;4793;3433;20038;9092
MONCHIQUE;287;197;1360;894;263;208;1308;945
OLHAO;3362;2340;11461;4657;3020;2214;11986;5574
PORTIMAO;4368;3160;15178;6032;4199;2878;16631;7399
SAO BRAS DE ALPORTEL;779;550;2782;1315;724;480;3007;1611
SILVES;2610;1791;9783;4403;2497;1639;10010;5033
TAVIRA;1633;1253;6865;3828;1566;1136;7006;4236
VILA DO BISPO;362;221;1471;738;367;231;1487;840
VILA REAL DE SANTO ANTONIO;1257;966;4549;2292;1265;909;4957;2629
ANGRA DO HEROISMO;2267;1892;9449;2759;2227;1870;9555;3752
CALHETA;230;180;934;363;197;164;919;450
CORVO;26;29;122;28;23;16;109;31
HORTA;1013;799;3949;1228;916;719;4078;1629
LAGOA;1229;957;4006;784;1116;970;4091;1036
LAJES DAS FLORES;87;78;432;133;70;75;374;159
LAJES DO PICO;287;206;1171;462;247;210;1140;617
MADALENA;449;326;1774;530;434;327;1747;732
NORDESTE;300;259;1190;405;276;256;1163;519
PONTA DELGADA;4915;4209;19093;4168;4715;4071;20124;5934
POVOACAO;401;364;1655;430;376;360;1634;571
RIBEIRA GRANDE;2989;2343;8859;1414;2916;2122;8818;1927
SANTA CRUZ DA GRACIOSA;317;219;1094;390;274;205;1091;500
SANTA CRUZ DAS FLORES;145;86;612;167;133;101;556;220
SAO ROQUE DO PICO;211;144;918;298;214;128;921;386
VELAS;345;243;1403;452;273;239;1402;579
VILA DA PRAIA DA VITORIA;1338;1116;5499;1543;1294;1017;5627;2029
VILA DO PORTO;385;309;1530;366;387;310;1540;579
VILA FRANCA DO CAMPO;809;692;2966;710;722;628;2967;829
CALHETA;659;610;2740;1001;620;532;2986;1767
CAMARA DE LOBOS;2457;2227;8869;1835;2387;2127;9246;3014
FUNCHAL;6472;5706;27987;8980;6175;5419;31160;13883
MACHICO;1155;1195;5540;1588;1061;1097;5524;2433
PONTA DO SOL;525;519;2122;693;515;511;2352;1123
PORTO MONIZ;133;116;626;246;101;143;652;500
PORTO SANTO;290;293;1523;430;292;254;1528;539
RIBEIRA BRAVA;821;783;3229;934;791;799;3619;1704
SANTA CRUZ;3203;2374;12022;2553;3111;2336;12933;3636
SANTANA;345;323;1649;656;307;334;1725;1214
SAO VICENTE;274;253;1229;500;244;238;1296;831
