Concelho;Taxa_imigrantes_2011;Taxa_imigrantes_2021
RESENDE;0.50;0.77
RIBEIRA BRAVA;1.59;3.41
RIBEIRA GRANDE;0.71;0.82
RIBEIRA DE PENA;0.58;0.97
RIO MAIOR;3.47;7.07
SABROSA;1.02;1.06
SABUGAL;1.22;1.72
SALVATERRA DE MAGOS;2.22;2.80
SANTA COMBA DAO;1.49;2.70
SANTA CRUZ;2.41;2.58
SANTA CRUZ DA GRACIOSA;1.84;1.05
SANTA CRUZ DAS FLORES;4.15;1.88
SANTA MARIA DA FEIRA;1.21;2.01
SANTA MARTA DE PENAGUIAO;1.64;1.02
SANTANA;1.20;2.04
SANTAREM;3.31;4.62
SANTIAGO DO CACEM;3.80;4.36
SANTO TIRSO;0.87;1.54
SARDOAL;1.19;3.07
SEIA;1.15;1.65
SEIXAL;6.73;7.48
SERNANCELHE;0.81;1.41
SERPA;1.91;3.42
SERTA;1.45;3.47
SESIMBRA;4.50;4.98
SETUBAL;5.60;6.92
SEVER DO VOUGA;1.51;2.46
SILVES;11.29;13.49
SINES;6.26;6.25
SINTRA;9.26;9.91
SOBRAL DE MONTE AGRACO;4.48;4.69
SOURE;1.22;1.94
SOUSEL;1.64;2.22
SATAO;1.11;1.28
SAO BRAS DE ALPORTEL;10.15;11.94
SAO JOAO DA MADEIRA;2.31;4.81
SAO JOAO DA PESQUEIRA;1.66;0.92
SAO PEDRO DO SUL;1.09;2.07
SAO ROQUE DO PICO;3.60;2.92
SAO VICENTE;1.54;2.94
TABUACO;0.91;1.15
TAROUCA;0.84;0.81
TAVIRA;9.44;17.13
TERRAS DE BOURO;0.74;1.51
TOMAR;1.95;2.78
TONDELA;0.90;1.98
TORRE DE MONCORVO;0.86;1.42
TORRES NOVAS;1.49;2.04
TORRES VEDRAS;4.06;6.01
TRANCOSO;1.34;1.62
TROFA;1.66;2.38
TABUA;3.52;4.82
VAGOS;2.19;2.94
VALE DE CAMBRA;1.39;2.52
VALENCA;3.70;6.96
VALONGO;1.10;2.00
VALPACOS;1.32;1.24
VELAS;1.83;2.01
VENDAS NOVAS;1.97;3.01
VIANA DO ALENTEJO;2.12;2.31
VIANA DO CASTELO;1.28;2.90
VIDIGUEIRA;3.62;2.88
VIEIRA DO MINHO;1.12;1.57
VILA FLOR;2.34;3.21
VILA FRANCA DE XIRA;5.66;6.36
VILA FRANCA DO CAMPO;0.92;0.71
VILA NOVA DA BARQUINHA;1.02;1.58
VILA NOVA DE CERVEIRA;3.00;6.40
VILA NOVA DE FAMALICAO;1.14;1.82
VILA NOVA DE FOZ COA;2.28;2.54
VILA NOVA DE GAIA;1.68;3.39
VILA NOVA DE PAIVA;1.24;1.80
VILA NOVA DE POIARES;3.06;3.65
VILA POUCA DE AGUIAR;1.06;1.27
VILA REAL;1.22;1.49
VILA REAL DE SANTO ANTONIO;6.76;9.11
VILA VELHA DE RODAO;1.39;4.60
VILA VERDE;1.05;1.94
VILA VICOSA;1.21;1.81
VILA DA PRAIA DA VITORIA;1.04;1.06
VILA DE REI;1.16;2.84
VILA DO BISPO;15.16;25.85
VILA DO CONDE;1.59;2.90
VILA DO PORTO;1.64;2.39
VIMIOSO;1.11;2.19
VINHAIS;0.76;0.99
VISEU;2.02;3.08
VIZELA;0.68;0.99
VOUZELA;0.86;1.66
AGUEDA;2.28;3.51
EVORA;2.64;3.19
ILHAVO;2.56;3.66
OBIDOS;2.74;6.77
