CONC;Percentagem_Max;Partido_Vencedor;cor;CONC_std
ALCACER DO SAL;49.49;PCP-PEV;red;ALCACER DO SAL
VIANA DO ALENTEJO;39.16;PCP-PEV;red;VIANA DO ALENTEJO
VILA VICOSA;53.13;PSD/CDS;orange;VILA VICOSA
ALBUFEIRA;33.09;PSD/CDS;orange;ALBUFEIRA
LOULE;57.94;PS;purple;LOULE
VILA DO BISPO;34.33;PS;purple;VILA DO BISPO
AZAMBUJA;42.22;PS;purple;AZAMBUJA
VILA FRANCA DE XIRA;41.94;PS;purple;VILA FRANCA DE XIRA
ALJUSTREL;48.68;PS;purple;ALJUSTREL
BRAGA;44.98;PSD/CDS;orange;BRAGA
AROUCA;52.25;PS;purple;AROUCA
CUBA;58.73;PCP-PEV;red;CUBA
CASTELO BRANCO;37.44;PS;purple;CASTELO BRANCO
TORRES VEDRAS;41.69;PS;purple;TORRES VEDRAS
CINFAES;64.14;PS;purple;CINFAES
LAGOA (R.A.A);64.64;PS;purple;LAGOA (R.A.A)
ANGRA DO HEROISMO;54.96;PS;purple;ANGRA DO HEROISMO
SANTA CRUZ DA GRACIOSA;59.69;PSD/CDS;orange;SANTA CRUZ DA GRACIOSA
LAJES DO PICO;57.44;PS;purple;LAJES DO PICO
HORTA;48.96;PSD/CDS;orange;HORTA
LAJES DAS FLORES;50.95;PS;purple;LAJES DAS FLORES
AVEIRO;54.15;PSD/CDS;orange;AVEIRO
ESTARREJA;55.09;PSD/CDS;orange;ESTARREJA
OLIVEIRA DE AZEMEIS;57.42;PS;purple;OLIVEIRA DE AZEMEIS
BARRANCOS;48.04;PCP-PEV;red;BARRANCOS
FERREIRA DO ALENTEJO;48.27;PS;purple;FERREIRA DO ALENTEJO
ODEMIRA;49.09;PS;purple;ODEMIRA
SERPA;44.88;PCP-PEV;red;SERPA
AMARES;54.63;PSD/CDS;orange;AMARES
BARCELOS;47.59;PSD/CDS;orange;BARCELOS
CABECEIRAS DE BASTO;55.26;PSD/CDS;orange;CABECEIRAS DE BASTO
GUIMARAES;49.76;PS;purple;GUIMARAES
VILA NOVA DE FAMALICAO;55.02;PSD/CDS;orange;VILA NOVA DE FAMALICAO
VIZELA;76.37;PS;purple;VIZELA
ALFANDEGA DA FE;53.94;PS;purple;ALFANDEGA DA FE
MACEDO DE CAVALEIROS;50.21;PS;purple;MACEDO DE CAVALEIROS
MIRANDA DO DOURO;56.02;PSD/CDS;orange;MIRANDA DO DOURO
VILA FLOR;55.55;PSD/CDS;orange;VILA FLOR
VINHAIS;52.08;PS;purple;VINHAIS
PROENCA-A-NOVA;68.57;PS;purple;PROENCA-A-NOVA
VILA VELHA DE RODAO;76.74;PS;purple;VILA VELHA DE RODAO
LOUSA;55.58;PS;purple;LOUSA
MONTEMOR-O-VELHO;52.79;PS;purple;MONTEMOR-O-VELHO
OLIVEIRA DO HOSPITAL;58.34;PS;purple;OLIVEIRA DO HOSPITAL
TABUA;54.32;PS;purple;TABUA
ALANDROAL;58.8;PS;purple;ALANDROAL
ARRAIOLOS;62.35;PCP-PEV;red;ARRAIOLOS
MOURAO;48.59;PSD/CDS;orange;MOURAO
REDONDO;44.96;PSD/CDS;orange;REDONDO
VENDAS NOVAS;42.47;PS;purple;VENDAS NOVAS
FORNOS DE ALGODRES;62.9;PS;purple;FORNOS DE ALGODRES
MEDA;52.28;PSD/CDS;orange;MEDA
TRANCOSO;63.38;PS;purple;TRANCOSO
CASTANHEIRA DE PERA;41.46;PS;purple;CASTANHEIRA DE PERA
ARRUDA DOS VINHOS;67.14;PS;purple;ARRUDA DOS VINHOS
LOURINHA;47.82;PS;purple;LOURINHA
SOBRAL DE MONTE AGRACO;45.31;PCP-PEV;red;SOBRAL DE MONTE AGRACO
ALTER DO CHAO;45.1;PSD/CDS;orange;ALTER DO CHAO
ELVAS;39.21;MCPE;grey;ELVAS
MARVAO;49.6;PSD/CDS;orange;MARVAO
PONTE DE SOR;67.21;PS;purple;PONTE DE SOR
PORTALEGRE;39.26;PSD/CDS;orange;PORTALEGRE
BAIAO;62.69;PS;purple;BAIAO
GONDOMAR;49.61;PS;purple;GONDOMAR
LOUSADA;60.25;PS;purple;LOUSADA
MAIA;42.94;PSD/CDS;orange;MAIA
MARCO DE CANAVESES;60.55;PS;purple;MARCO DE CANAVESES
MATOSINHOS;56.25;PS;purple;MATOSINHOS
VALONGO;53.28;PS;purple;VALONGO
TROFA;58.75;PSD/CDS;orange;TROFA
ALMEIRIM;71.27;PS;purple;ALMEIRIM
CHAMUSCA;46.25;PS;purple;CHAMUSCA
RIO MAIOR;59.09;PSD/CDS;orange;RIO MAIOR
SALVATERRA DE MAGOS;52.64;PS;purple;SALVATERRA DE MAGOS
TORRES NOVAS;47.13;PS;purple;TORRES NOVAS
OUREM;66.44;PSD/CDS;orange;OUREM
GRANDOLA;46.23;PCP-PEV;red;GRANDOLA
SANTIAGO DO CACEM;45.24;PCP-PEV;red;SANTIAGO DO CACEM
SINES;51.5;PS;purple;SINES
PAREDES DE COURA;69.47;PS;purple;PAREDES DE COURA
VIANA DO CASTELO;47.76;PS;purple;VIANA DO CASTELO
ALIJO;63.45;PSD/CDS;orange;ALIJO
CHAVES;56.67;PS;purple;CHAVES
MESAO FRIO;50.4;PS;purple;MESAO FRIO
MONTALEGRE;53.72;PS;purple;MONTALEGRE
RIBEIRA DE PENA;56.44;PS;purple;RIBEIRA DE PENA
SANTA MARTA DE PENAGUIAO;60.55;PS;purple;SANTA MARTA DE PENAGUIAO
ARMAMAR;60.03;PSD/CDS;orange;ARMAMAR
CASTRO DAIRE;64.14;PSD/CDS;orange;CASTRO DAIRE
LAMEGO;47.27;PSD/CDS;orange;LAMEGO
MANGUALDE;58.07;PS;purple;MANGUALDE
MOIMENTA DA BEIRA;56.91;PS;purple;MOIMENTA DA BEIRA
NELAS;54.94;PSD/CDS;orange;NELAS
OLIVEIRA DE FRADES;47.11;PSD/CDS;orange;OLIVEIRA DE FRADES
PENALVA DO CASTELO;59.43;PS;purple;PENALVA DO CASTELO
SANTA COMBA DAO;55.52;PS;purple;SANTA COMBA DAO
SAO JOAO DA PESQUEIRA;61.26;PS;purple;SAO JOAO DA PESQUEIRA
TABUACO;74.49;PSD/CDS;orange;TABUACO
MACHICO;53.54;PS;purple;MACHICO
PONTA DO SOL;55.19;PS;purple;PONTA DO SOL
PORTO MONIZ;56.03;PS;purple;PORTO MONIZ
SAO VICENTE;73.59;PSD/CDS;orange;SAO VICENTE
PORTO SANTO;52.19;PSD/CDS;orange;PORTO SANTO
VILA DA PRAIA DA VITORIA;45.39;PSD/CDS;orange;VILA DA PRAIA DA VITORIA
PENAFIEL;62.25;PSD/CDS;orange;PENAFIEL
FUNCHAL;48.34;PSD/CDS;orange;FUNCHAL
OLHAO;51.31;PS;purple;OLHAO
AGUEDA;61.03;PSD/CDS;orange;AGUEDA
ALPIARCA;45.13;PS;purple;ALPIARCA
SANTA CRUZ DAS FLORES;63.85;PS;purple;SANTA CRUZ DAS FLORES
