Concelho;A;ADN;B.E.;CDS-PP;CH;E;EMBRANCO;IL;JPP;L;MAS;MPT;NC;NULOS;PAN;PCP-PEV;PCTP/MRPP;PPD/PSD;PPD/PSD.CDS-PP;PPD/PSD.CDS-PP.PPM;PPM;PS;PTP;R.I.R.;VP
LAJES DAS FLORES;;0.28;4.23;;4.89;0.45;6.33;2.66;;0.43;0.28;0.15;;1.16;0.5;1.74;2.87;;;27.96;;45.77;;0.28;0.0
LAJES DO PICO;;0.56;2.04;;3.33;0.02;4.26;1.38;;0.3;0.13;0.21;;1.21;0.41;1.58;0.1;;;36.92;;47.14;;0.42;0.0
LAMEGO;;0.02;2.14;2.2;7.86;0.11;0.47;1.31;;0.5;0.05;0.2;0.1;1.35;0.69;2.2;;34.12;;;;45.98;0.03;0.53;0.16
LEIRIA;;0.3;3.77;2.59;7.45;0.09;1.92;5.51;;0.95;0.12;0.22;0.14;1.26;1.23;1.57;;41.72;;;;30.42;0.07;0.57;0.06
LISBOA;0.06;0.24;4.84;2.3;5.61;0.06;0.74;10.28;0.1;3.85;0.12;0.11;0.06;0.6;1.83;5.02;0.37;26.17;;;;37.27;0.06;0.16;0.14
LOULE;;0.6;4.37;0.82;10.91;0.1;1.31;3.94;;0.82;0.17;0.18;;1.26;1.73;3.44;;27.44;;;;42.22;0.09;0.49;0.12
LOURES;0.04;0.23;4.0;1.07;8.56;0.06;1.02;5.47;0.1;1.57;0.13;0.11;0.04;0.89;1.79;7.76;0.53;20.23;;;;46.02;0.04;0.26;0.07
LOURINHA;0.04;0.41;3.81;2.07;12.48;0.11;1.57;3.66;0.08;1.02;0.07;0.13;0.04;1.53;1.38;2.57;0.35;33.38;;;;34.59;0.03;0.56;0.11
LOUSA;0.06;;4.63;1.2;5.99;0.69;1.78;2.88;;0.86;0.1;0.42;;1.13;1.13;2.08;0.25;24.0;;;;50.44;;0.29;2.09
LOUSADA;0.05;0.07;2.79;1.12;4.69;0.11;0.92;2.68;0.01;0.62;0.08;0.05;0.12;1.06;0.87;1.64;;32.41;;;;48.96;0.06;1.63;0.07
MACAO;;;3.18;1.83;8.44;0.21;0.96;1.43;;0.82;0.22;0.09;;1.32;0.65;2.73;;37.12;;;;40.58;0.06;0.27;0.09
MACEDO DE CAVALEIROS;;;1.7;3.12;7.68;0.11;1.06;1.19;;0.24;0.18;0.13;;1.47;0.32;0.9;;38.35;;;;43.23;;0.33;
MACHICO;;0.3;2.99;;5.0;0.21;0.38;2.13;5.97;0.37;0.18;0.3;;1.98;1.2;1.0;;;30.98;;0.23;46.03;0.48;0.26;
MADALENA;;0.64;1.73;;4.19;0.0;4.49;2.61;;0.7;0.06;0.17;;0.83;0.77;0.75;0.52;;;39.63;;42.57;;0.29;0.03
MAFRA;0.13;0.42;4.35;1.29;8.71;0.08;1.48;7.14;0.09;1.85;0.11;0.18;0.07;1.03;2.1;3.28;0.34;28.46;;;;38.42;0.02;0.33;0.09
MAIA;0.04;0.15;4.77;1.17;4.14;0.12;1.14;6.1;0.05;1.11;0.07;0.07;0.07;0.8;2.06;3.03;;34.97;;;;39.49;0.05;0.49;0.1
MANGUALDE;;0.06;2.36;1.82;8.76;0.08;1.46;1.46;;0.42;0.07;0.3;0.06;1.48;0.62;1.15;;33.0;;;;46.28;0.0;0.5;0.11
MANTEIGAS;;;4.35;1.5;7.9;0.04;0.41;1.53;;0.11;0.0;0.08;;0.62;0.42;3.12;;29.14;;;;49.89;0.0;0.59;0.3
MARCO DE CANAVESES;0.03;0.15;2.57;1.85;3.79;0.14;0.78;2.47;0.07;0.53;0.06;0.08;0.14;0.94;0.89;1.71;;33.0;;;;49.4;0.02;1.3;0.07
MARINHA GRANDE;;0.58;6.38;0.93;7.45;0.07;1.59;4.6;;1.19;0.09;0.17;0.19;1.17;1.66;9.54;;16.9;;;;46.87;0.13;0.47;0.06
MARVAO;;;2.58;1.17;7.64;0.31;1.15;2.08;;0.43;0.17;0.26;;1.35;1.06;2.5;0.48;26.72;;;;51.28;0.0;0.72;0.13
MATOSINHOS;0.04;0.18;5.58;1.19;4.18;0.08;1.01;6.0;0.03;1.34;0.08;0.06;0.07;0.8;1.93;3.66;;29.94;;;;43.27;0.04;0.44;0.08
MEALHADA;;0.2;5.53;1.05;6.28;0.07;1.81;3.34;0.1;0.64;0.14;0.13;;0.79;1.28;3.38;0.4;24.99;;;;49.32;;0.36;0.2
MEDA;;;2.21;4.73;5.92;0.55;0.87;0.76;;0.38;0.0;0.21;;1.48;0.29;1.21;;41.92;;;;38.61;0.22;0.78;0.18
MELGACO;0.11;;2.02;1.91;4.13;0.08;1.33;1.38;;0.48;0.07;0.15;;1.01;0.64;1.04;;32.22;;;;52.82;;0.42;0.17
MERTOLA;;;2.39;0.53;6.65;0.12;1.8;1.17;;0.77;0.14;0.09;;0.79;0.52;24.16;0.66;12.96;;;;47.0;0.05;0.17;0.02
MESAO FRIO;;;2.26;1.67;4.86;0.02;0.38;1.65;;0.22;0.52;0.04;0.39;1.55;0.99;1.6;;28.45;;;;54.14;;0.84;0.41
MIRA;0.25;;2.83;1.72;7.36;0.08;1.55;3.55;;0.59;0.06;0.15;;1.56;0.9;0.78;0.16;43.44;;;;34.54;;0.36;0.11
MIRANDA DO CORVO;0.2;;3.32;1.12;4.45;0.04;1.46;1.99;;0.43;0.19;0.08;;1.14;0.66;2.33;0.13;25.65;;;;56.38;;0.36;0.06
MIRANDA DO DOURO;;;1.5;2.15;6.3;0.05;1.02;0.67;;0.17;0.07;0.16;;2.11;0.42;0.56;;47.71;;;;36.78;;0.34;
MIRANDELA;;;1.6;3.58;10.99;0.15;0.74;0.79;;0.24;0.12;0.11;;1.31;0.45;1.81;;40.39;;;;37.09;;0.63;
MOGADOURO;;;1.51;2.42;8.27;0.23;0.82;0.81;;0.32;0.05;0.18;;1.44;0.59;0.5;;51.05;;;;31.47;;0.34;
MOIMENTA DA BEIRA;;0.08;1.45;3.03;8.4;0.24;1.09;0.98;;0.42;0.03;0.08;0.12;1.49;0.71;1.17;;35.38;;;;44.65;0.01;0.34;0.32
