Concelho;HM-1:Solteiro-T:Total;HM-2:Casado-T:Total;HM-3:Viúvo-T:Total;HM-4:Divorciado-T:Total
SALVATERRA DE MAGOS;8755;8991;2079;1782
SANTAREM;24479;23277;5248;5658
ALTER DO CHAO;1124;1270;411;239
ARRONCHES;1079;1159;350;201
AVIS;1607;1501;413;291
CAMPO MAIOR;3590;3176;693;583
CASTELO DE VIDE;1065;1380;392;279
CRATO;1037;1455;503;230
ELVAS;9254;7918;1858;1700
FRONTEIRA;1028;1356;313;161
GAVIAO;980;1633;564;217
MARVAO;1085;1342;397;197
MONFORTE;1338;1184;330;140
NISA;1921;2791;888;352
PONTE DE SOR;6044;6442;1651;1111
PORTALEGRE;8861;9548;2027;1904
SOUSEL;1646;1868;558;288
ALANDROAL;1884;2210;593;327
ARRAIOLOS;2632;2878;644;452
BORBA;2530;2946;594;358
ESTREMOZ;5045;5418;1314;903
EVORA;24477;20422;4130;4548
MONTEMOR-O-NOVO;6348;6702;1661;1088
MORA;1430;1885;542;278
MOURAO;1034;944;231;142
PORTEL;2321;2495;599;332
REDONDO;2618;2662;610;396
REGUENGOS DE MONSARAZ;4059;4153;970;689
VENDAS NOVAS;4472;4832;1116;825
VIANA DO ALENTEJO;2216;2119;566;417
VILA VICOSA;2951;3204;705;527
ANGRA DO HEROISMO;14802;13250;2548;3171
CALHETA;1491;1364;310;272
CORVO;191;136;25;32
HORTA;6272;5640;1068;1351
LAGOA;6448;5924;845;972
LAJES DAS FLORES;643;509;105;151
LAJES DO PICO;1711;1892;417;320
MADALENA;2705;2564;501;549
NORDESTE;1833;1866;376;293
PONTA DELGADA;30803;26463;4115;5848
POVOACAO;2484;2449;442;416
RIBEIRA GRANDE;14842;12997;1654;1895
SANTA CRUZ DA GRACIOSA;1760;1659;387;284
SANTA CRUZ DAS FLORES;951;697;152;220
SAO ROQUE DO PICO;1364;1260;271;325
VELAS;2136;1943;421;436
VILA DA PRAIA DA VITORIA;7961;8525;1439;1538
VILA DO PORTO;2501;2031;431;443
VILA FRANCA DO CAMPO;4677;4421;628;597
CALHETA;4577;4353;1248;737
CAMARA DE LOBOS;15602;12422;2261;1877
FUNCHAL;48167;39397;8498;9720
MACHICO;8170;8564;1637;1222
PONTA DO SOL;3748;3261;747;604
PORTO MONIZ;1085;933;339;160
PORTO SANTO;2290;1981;389;489
RIBEIRA BRAVA;5842;4918;1121;799
SANTA CRUZ;20362;15753;2460;3593
SANTANA;2643;2740;830;340
SAO VICENTE;1986;2012;571;296
