COD,CONC,ORG,A,B.E.,CDS-PP,CH,E,IL,JPP,L,MAS,MPT,NC,PAN,PCTP/MRPP,PDR,PPD/PSD,PPM,PS,PTP,R.I.R.,VP,PCP-PEV,[NC/A],IN-OV,VM,[MCCP],[AFE],[CPC],[MMMI],AP,MIPA,[SPCVB],[S-MI],[UTV],[MVR],[MC21],[MCPE],[CLIP],[MPNT],[MOVE],[MAiSines],MUB,R,FAP,#NAME?,Manteigas 2030,UPF,MMMF,MOV.PT,I-Góis,M51,JÁ!,U.C.,UCPT,CICC,jmfv,MFI,MCPE,JPNT,MLP,GCA,MP,CIC,,VA,PV,[ALTERNATIVAcom,,CICF,CPM,[MPT/PPM/A,UPM,MSU,CIMB
121500,SOUSEL,CM,,,,2.69,,,,,,,,,,,28.59,,64.26,,,,4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130100,AMARANTE,CM,53.97,2.19,,2.07,,,,,,,,,,,,,40.07,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130900,PACOS DE FERREIRA,CM,,,1.61,2.3,,,,,,,,,,,35.07,,57.67,,,,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131200,PORTO,CM,,6.46,,3.05,0.08,,,0.47,,,,2.88,,,60,0.22,18.6,,,0.43,7.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131300,POVOA DE VARZIM,CM,,2.99,3.56,5.77,,3.64,,,,,,2.48,,,54.18,,22.99,,,,4.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131600,VILA DO CONDE,CM,,1.63,1.1,2.61,,1.73,,,,,,1.73,,,45.37,,43.8,,,,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140100,ABRANTES,CM,,6.47,,5.51,,,,,,,,,,,14.63,,58.14,,,,5.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,,,,,,,
140500,BENAVENTE,CM,,,1.24,12.54,,,,,,,,,,,27.16,,19.23,,,,34.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1
140600,CARTAXO,CM,,4.56,,9.02,,,,,,,,,,,48.62,,30.31,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140800,CONSTANCIA,CM,,,2.75,3.83,,,,,,,,,,,3.02,,61.06,,,,29.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140900,CORUCHE,CM,,,,5.98,,,,,,,,,,,16.04,,53.47,,,,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141000,ENTRONCAMENTO,CM,,7.06,7.54,11.79,,,,,,,,,,,33.28,,34.09,,,,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141100,FERREIRA DO ZEZERE,CM,,,,1.42,,,,,,,3.1,,,,35.52,,59.06,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141200,GOLEGA,CM,,,,2.65,,,,,,,,,,,49.07,,44.19,,,,4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141300,MACAO,CM,,,1.42,2.54,,,,,,,,,,,66.09,,27.22,,,,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141600,SANTAREM,CM,,4.39,2.74,8.27,,2.22,,,,,,1.19,,,39.03,,34.69,,,,7.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141700,SARDOAL,CM,,,0.62,5.08,,,,,,,,,,,46.71,,45.19,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142000,VILA NOVA DA BARQUINHA,CM,,,0.92,13.16,,,,,,,,,,,17.16,,58.25,,,,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150200,ALCOCHETE,CM,,,9.91,5.42,,,,,,,,,,,6.97,,54.76,,,,22.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150400,BARREIRO,CM,,3.01,0.6,4.4,,,,0.49,,,,1.73,,,7.46,,58.23,,,,24.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160100,ARCOS DE VALDEVEZ,CM,,,2.61,2.79,,,,,,,,,,,60.77,,31.61,,,,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160300,MELGACO,CM,,,,,,,,,,,,,,,38.98,,58.22,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160400,MONCAO,CM,,,1.82,1.83,,,,,,,,,,,64.52,,30.82,,,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160600,PONTE DA BARCA,CM,,,1.29,1.65,,,,,,,,,,,48.35,,46.43,,,,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160700,PONTE DE LIMA,CM,,,45.09,1.23,,,,,,,,,,,11.63,0.49,29.13,,,,2.22,,6.16,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06,,,,,,,,,,,,,,,,,,,,,,,
160800,VALENCA,CM,,,,1.05,,,,,,,6.81,,,,28.94,,41.09,,,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.96,,,,,,,,,,,,,,,,,,
161000,VILA NOVA DE CERVEIRA,CM,,1.81,,2.71,,,,,,,,,,,42.31,,52.59,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170200,BOTICAS,CM,,,,1.65,,,,,,,,,,,77.54,,16.81,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170500,MONDIM DE BASTO,CM,,,6.03,,,,,,,,,,,,50.04,,43.07,,,,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170700,MURCA,CM,,,4.19,,,,,,,,,,,,59.67,,35.31,,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170800,PESO DA REGUA,CM,,2.27,0.64,2,,,,,,,,,,,55.43,,38.03,,,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171000,SABROSA,CM,,,8.21,1.05,,,,,,,,,,,28.17,,29.84,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.25,,,,,,,,,,,,,,,,,,,,,,
171200,VALPACOS,CM,,,3.24,2.12,,,,,,,,,,,78.85,,14.54,,,,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171300,VILA POUCA DE AGUIAR,CM,,,1.33,1.89,,,,,,,,,,,67.53,,27.48,,,,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180200,CARREGAL DO SAL,CM,,1.37,3.85,,,,,,,,,,,,16.06,,53.88,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.04,,,,,,,,,,,,,,,,,,,
180800,MORTAGUA,CM,,,,,,,,,,,,,,,34,,64.93,,,,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181200,PENEDONO,CM,,,,,,,,,,,,,,,50.13,,34.61,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.46,,,,,,,,,,,,
181300,RESENDE,CM,,,,,,,,,,,,,,,48.53,,50.53,,,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181600,SAO PEDRO DO SUL,CM,,,,2.6,,,,,,,,,,,33.63,,61.94,,,,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181700,SATAO,CM,,,,6.56,,,,,,,,,,,49.57,,41.75,,,,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181800,SERNANCELHE,CM,,,,,,,,,,,,,,,85.99,,9.83,,,,4.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182000,TAROUCA,CM,,,,,,,,,,,,,,,62.11,,35.17,,,,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182100,TONDELA,CM,,,,3.9,,,,,,,,,,,47.27,,45.64,,,,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182200,VILA NOVA DE PAIVA,CM,,,,,,,,,,,17.46,,,,35.5,,45.31,,,,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182300,VISEU,CM,,2.08,2.09,3.06,,2.27,,,,,,1.3,,,48.37,,39.61,,,,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182400,VOUZELA,CM,,,,3.34,,,,,,,,,,,61.45,,33.56,,,,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310100,CALHETA (R.A.M.),CM,,,11.94,,,,,,,,,,,,73.59,,12.69,0.79,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310700,RIBEIRA BRAVA,CM,,,,8.37,,,,,,,,,,,66.01,,21.67,2.14,,,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310900,SANTANA,CM,,,59.69,,,,,,,,,,,,27.8,,10.95,,0.61,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410100,VILA DO PORTO,CM,,4.26,,,,,,,,,,,,,35.62,,59.03,,,,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420200,NORDESTE,CM,,,,1.07,,,,,,,,,,,73.19,,22.39,,,,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420300,PONTA DELGADA,CM,,2.84,,2,,2.78,,,,,,2.08,,,50.47,,38.59,,,,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420400,POVOACAO,CM,,,,0.31,,,,,,,,,,,32.3,,66.72,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420500,RIBEIRA GRANDE,CM,,1.89,,1.58,,,,,,,,,,,62.93,,32.78,,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420600,VILA FRANCA DO CAMPO,CM,,,,1.2,,,,,,,,,,,46.21,,51.84,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450100,CALHETA (R.A.A.),CM,,,,,,,,,,,,,,,54.97,,45.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450200,VELAS,CM,,,70.85,,,,,,,,,,,,,,29.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460200,MADALENA,CM,,1.94,,,,,,,,,,,,,60.03,,38.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460300,SAO ROQUE DO PICO,CM,,,,,,,,,,,,,,,63,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
